Nombre,Ciclo,Calificación,Propósito,Área
Cálculo,24-1,10,Soluciona problemas del área de la ingeniería a partir del cálculo diferencial y técnicas de integración.,Científica básica
Análisis Vectorial,24-1,9,"Resuelve problemas geométricos y físicos a partir del estudio de las propiedades de los vectores, las funciones vectoriales en el espacio tridimensional y los teoremas integrales de Gauss, Green y Stokes.",
Matemáticas Discretas,24-1,10,Plantea algoritmos matemáticos y estructuras discretas con base en sus propiedades y argumentos válidos con lenguaje formal.,
Comunicación Oral y Escrita,24-1,10,"Presenta discursos con base en la comunicación oral, escrita y su contexto.",Institucional
Fundamentos de Programación,24-1,10,"Programa aplicaciones a partir de sentencias de control, funciones, apuntadores y archivos.",Profesional
Álgebra Líneal,24-2,10,"Aplica los métodos de eliminación de Gauss-Jordan matricial con pivoteo a partir de las transformaciones lineales, los espacios vectoriales, valores y vectores propios.",
Cálculo Aplicado,24-2,10,Resuelve problemas de ingeniería a partir del cálculo diferencial e integral.,
Mecánica y Electromagnetismo,24-2,10,Aplica la mecánica y el electromagnetismo a problemas teóricos a partir de sus principios teóricos básicos.,
"Ingeniería, Ética y Sociedad",24-2,10,"Explica el papel de la ingeniería en la sociedad a partir de la historia del conocimiento humano, su relación con la ciencia y tecnología, sus implicaciones éticas y el impacto ambiental.",
Fundamentos Económicos,24-2,9,Analiza la toma de decisiones económicas con base en su entorno nacional e internacional.,
Algoritmos y Estructuras de Datos,24-2,10,Utiliza algoritmos y estructuras de datos con base en sus órdenes de complejidad y características.,
Ecuaciones Diferenciales,25-1,10,Resuelve problemas de circuitos eléctricos y de otros sistemas dinámicos a partir de ecuaciones diferenciales ordinarias.,
Circuitos Eléctricos,25-1,10,"Resuelve problemas de circuitos eléctricos de acuerdo a las técnicas de análisis, teoremas de aplicación y mediciones en laboratorio.",
Fundamentos de Diseño Digital,25-1,10,"Implementa sistemas lógicos combinacionales y de memoria a partir de su representación Booleana, los lenguajes de descripción de hardware y dispositivos reconfigurables",
Bases de Datos,25-1,9,Implementa bases de datos a partir de los diferentes modelos de datos.,
Finanzas Empresariales,25-1,10,Utiliza las herramientas matemáticas y financieras a partir de la información generada en la empresa.,
Paradigmas de Programación,25-1,10,Crea soluciones computacionales con base en los fundamentos y técnicas de diferentes lenguajes de programación y sus paradigmas.,
Análisis y Diseño de Algortimos,25-1,10,Evalúa la resolución de problemas computacionales con base en las técnicas de análisis de complejidad y las estrategias de diseño de algoritmos.,
Probabilidad y Estadística,25-2,Pendiente,Analiza matemáticamente los problemas aleatorios y sus resultados a partir de los elementos de probabilidad.,
Matemáticas Avanzadas para la Ingeniería,25-2,Pendiente,Obtiene las bases matemáticas de la teoría de variable compleja y el análisis de Fourier a partir de teoremas y propiedades fundamentales.,
Electrónica Analógica,25-2,Pendiente,"Resuelve circuitos con dispositivos electrónicos con base en sus características eléctricas, sus aplicaciones y las leyes que los fundamentan.",
Diseño de Sistemas Digitales,25-2,Pendiente,Diseña sistemas digitales secuenciales y de memoria a partir de máquinas deterministas y lenguajes de descripción de hardware.,
Tecnologias para el desarrollo de Aplicaciones Web,25-2,Pendiente,"Desarrolla aplicaciones Web con base en las tecnologías HTML, XML, Java, JavaScript, AJAX, un framework JavaScript y la conexión a bases de datos.",
Sistemas Operativos,25-2,Pendiente,Propone soluciones a las necesidades de sistemas computacionales actuales a partir del funcionamiento del sistema operativo.,
Teoría de la Computación,25-2,Pendiente,"Construye soluciones a problemas computacionales con base en los modelos de cómputo para lenguajes regulares, lenguajes independientes del contexto y la noción de computabilidad. ",
Procesamiento Digital de Señales,26-1,Pendiente,Diseña aplicaciones eficientes en el procesamiento digital de señales en tiempo y frecuencia a partir de la teoría de análisis de señales y sistemas.,
Instumentación y Control,26-1,Pendiente,"Construye sistemas de medición y control a partir de sensores, acondicionamiento e instrumentación electrónica.",
Arquitectura de Computadoras,26-1,Pendiente,Implementa un procesador de arquitectura RISC con base en un lenguaje de descripción de hardware (HDL) y dispositivos reconfigurables del tipo FPGA.,
Análisis y Diseño de Sistemas,26-1,Pendiente,Desarrolla un sistema de cómputo con base en el análisis de requerimientos y técnicas de diseño.,
Formulación y Evaluación de Proyectos Informáticos,26-1,Pendiente,"Evalúa proyectos informáticos a partir de su entorno, fases de formulación, innovación, gestión y viabilidad financiera.",
Compiladores,26-1,Pendiente,Desarrolla un compilador con base en el uso de generadores de analizadores léxicos y sintácticos e infraestructuras de desarrollo de compiladores.,
